Candidato - nome de urna,Part./Colig.,Votos,% (*)
NATµLIA SEVERINO,AVANTE,538,"0,05"
NATALIE,NOVO,708,"0,06"
NATHµLIA MORAES,PTB,442,"0,04"
NATY GOMES,PROS,0,0
NAYSSA LYERE,PROS,2,0
NEGO D“,PSOL,601,"0,05"
NEIDE DA PADARIA,DC,283,"0,02"
NEIDE DUARTE,PODE,16,0
NEIDINHA PACHECO,PT,302,"0,03"
NEILA BATISTA,PT,2922,"0,25"
NELI MARTINS,SOLIDARIEDADE,284,"0,02"
NELMA TAMIRIS,PSDB,6,0
NELSON DE MELLO DANTAS FILHO,PDT,308,"0,03"
NELY AQUINO,PODE,6788,"0,58"
NELY VIEIRA,DC,50,0
NENECA DO POV«O,PL,132,"0,01"
NENêM DA FARMµCIA,PTC,4460,"0,38"
NERISVALDO BATISTA,DEM,201,"0,02"
NETO,REDE,888,"0,08"
NEUSINHA,PRTB,95,"0,01"
NEY MOUR«O,CIDADANIA,270,"0,02"
NEY ORNELAS,AVANTE,287,"0,02"
NICO FUTBURGUER,PTC,749,"0,06"
NICOLAU DA RUA ACRE,PTC,42,0
NICOLE DIAS,PT,183,"0,02"
NIKOLAS FERREIRA,PRTB,29388,"2,52"
NILD«O S‡ ALEGRIA,PROS,162,"0,01"
NIRLANDO OLIVEIRA,PSL,193,"0,02"
NIVALDO DAS VASSOURAS,PSDB,439,"0,04"
NIVALDO NUNES,PSD,284,"0,02"
N÷VIA SANTOS,SOLIDARIEDADE,4,0
NOBRU,PATRIOTA,136,"0,01"
NONATO DO CRUZEIRO,AVANTE,409,"0,04"
NORMA VEN∂NCIO,MDB,359,"0,03"
N‡S POR N‡S,PSOL,1930,"0,17"
NUNES BACHAREL,PC do B,53,0
OBADIAS PAIX«O,PSDB,171,"0,01"
ODILON ARAÈJO,DEM,126,"0,01"
ODILON PAIVA,PSOL,122,"0,01"
OILSO FONSECA,DEM,98,"0,01"
ONILSON CASSIANO,PSB,136,"0,01"
ONOFRE MAIA,CIDADANIA,33,0
OROZANA PRATES,PSD,793,"0,07"
OSCAR NUNES,PSB,61,"0,01"
OSEAS SOARES,PMN,166,"0,01"
OSVALDO DANTAS,REPUBLICANOS,4,0
OTµVIO MAIA,NOVO,1611,"0,14"
PABLITO,PODE,263,"0,02"
PABLO FIGUEIREDO,REDE,2652,"0,23"
PADILHA,PSD,708,"0,06"
PADRE JEFFERSON,PL,296,"0,03"
PADRE SµVIO,MDB,1343,"0,11"
PASCOAL,PSC,123,"0,01"
PASSARINHO,PC do B,163,"0,01"
PASTOR ANTONIO,PL,159,"0,01"
PASTOR ARTHUR MOURA,MDB,50,0
PASTOR ARTUR,DEM,578,"0,05"
PASTOR JUNIOR VILA VERDE,PSDB,342,"0,03"
PASTOR LAZARO,PSB,198,"0,02"
PASTOR RICHARD SANDER,DC,183,"0,02"
PASTOR WARLEI DIAS,PODE,1784,"0,15"
PASTORA ANA,PL,49,0
PASTORA CARLA,PSC,360,"0,03"
PASTORA JACQUELINE LELIS,PL,63,"0,01"
PASTORA LUCINêIA,MDB,129,"0,01"
PASTORA SILVANA,PTC,27,0
PATI LEIVA,PSD,519,"0,04"
PATR÷CIA DIAS,PTB,55,0
PATR÷CIA MARCELINO,PC do B,37,0
PATR÷CIA MIRANDA,PTB,198,"0,02"
PATRICIA MIRANDA (PATH),PATRIOTA,230,"0,02"
PATRICIA REGINA,DC,67,"0,01"
PATR÷CIO THOMê,PP,462,"0,04"
PATY DO CHEVETTE,DEM,141,"0,01"
PAULA ANDRADE,PDT,13,0
PAULA CAMARGOS,PSDB,380,"0,03"
PAUL«O,PC do B,373,"0,03"
PAULINHO ALELUIA,REPUBLICANOS,266,"0,02"
PAULINHO CABELEREIRO,PTB,393,"0,03"
PAULO COSTA,PL,146,"0,01"
PAULO DA AG“NCIA DE CARROS,REPUBLICANOS,306,"0,03"
PAULO DO MERCADO,MDB,325,"0,03"
PAULO FERREIRA,PRTB,218,"0,02"
PAULO HENRIQUE PH,SOLIDARIEDADE,1001,"0,09"
PAULO LOBATO,PL,376,"0,03"
PAULO NOGUEIRA BARê,PODE,33,0
PAULO ROBERTO,PRTB,235,"0,02"
PAULO V÷TOR VARGAS,NOVO,402,"0,03"
PC SANTOS,REDE,1138,"0,1"
PEDR«O DO BAIRRO S«O JOSê,PL,118,"0,01"
PEDR«O DO DEP‡SITO,CIDADANIA,4241,"0,36"
PEDRO BUENO,CIDADANIA,3102,"0,27"
PEDRO GABRIEL,PCB,45,0
PEDRO JORGE,PC do B,30,0
PEDRO LêLIS,PROS,1256,"0,11"
PEDRO PATRUS,PT,4268,"0,37"
PEDRO SALES,PSB,163,"0,01"
PEDRO SANTANA,AVANTE,1017,"0,09"
PEDRO VIN÷CIUS,PL,54,0
PELE CHAVEIRO,PSC,77,"0,01"
PELê FILETO,PSDB,98,"0,01"
PERISVALDO RODRIGUES,PT,563,"0,05"
PETERSON SILVA,PSC,52,0
PETR‚NIO MATIAS,REDE,2439,"0,21"
PETRONIO MIRANDA,PSL,46,0
PIMENTA DO DEP‡SITO,DEM,463,"0,04"
PIRES,PMN,168,"0,01"
PITA CAMPINENSE,CIDADANIA,112,"0,01"
PITANGUI DO ESPORTE,REPUBLICANOS,840,"0,07"
PLURAL,UP,592,"0,05"
POLIANA DO MLB,UP,1973,"0,17"
POLLETO NEVES-PALHAÄO BISCOITO,PL,206,"0,02"
POLLY DO AMARAL,PSOL,2100,"0,18"
POMPITO LOVE,PV,131,"0,01"
PR JORGE LEAL,PSL,122,"0,01"
PREGUINHO MEU REI,PTB,357,"0,03"
PRETO,DEM,3587,"0,31"
PRETO DA PRETONET,PTB,480,"0,04"
PRICILA CERDEIRA,PSL,135,"0,01"
PRISCILA TORRES,REPUBLICANOS,9,0
PROF DANIEL PORTUGAL,PODE,689,"0,06"
PROF MAURILIO SANTIAGO,PODE,554,"0,05"
PROF WAGNER CARVALHO,PSOL,337,"0,03"
PROF. TOLENTINO,CIDADANIA,243,"0,02"
PROF¶ MARIA JOSê RUGGIO,PATRIOTA,188,"0,02"
PROFESSOR ALEXSANDRO,PC do B,59,"0,01"
PROFESSOR BANDEIRA,PRTB,96,"0,01"
PROFESSOR BRUN«O,PL,1044,"0,09"
PROFESSOR CARLOS,PATRIOTA,743,"0,06"
PROFESSOR CLAUDINEY DULIM,AVANTE,4879,"0,42"
PROFESSOR CRESIO EDUARDO,SOLIDARIEDADE,548,"0,05"
PROFESSOR DANIEL NERY,REDE,630,"0,05"
PROFESSOR FµBIO CARDOSO,PRTB,666,"0,06"
PROFESSOR FABIO HENRI,PV,296,"0,03"
PROFESSOR FRANCISCO FOUREAUX,PDT,348,"0,03"
PROFESSOR GIVANILDO,PATRIOTA,2829,"0,24"
PROFESSOR JAQUES BRAGA,PDT,856,"0,07"
PROFESSOR JORGE BRUNO,SOLIDARIEDADE,2271,"0,19"
PROFESSOR JULIANO LOPES,PTC,5197,"0,44"
PROFESSOR JUVENAL,REDE,1254,"0,11"
PROFESSOR LORIVAL JR.,REDE,394,"0,03"
PROFESSOR MARC«O,PDT,22,0
PROFESSOR MµRCIO BORGES,SOLIDARIEDADE,223,"0,02"
PROFESSOR MµRIO PATRIOTA,REPUBLICANOS,27,0
PROFESSOR MIRO GRAFITE,PL,89,"0,01"
PROFESSOR NEULER,PSD,360,"0,03"
PROFESSOR PAULO,MDB,161,"0,01"
PROFESSOR RAFAEL FROIS,PDT,1617,"0,14"
PROFESSOR RAICKSON,PRTB,174,"0,01"
PROFESSOR RODRIGO BORGES,SOLIDARIEDADE,686,"0,06"
PROFESSOR WANDSON MOUR«O,SOLIDARIEDADE,152,"0,01"
PROFESSOR WESLEY MORAES,PDT,1208,"0,1"
PROFESSORA ADELIA,PL,31,0
PROFESSORA AIRAN,PDT,138,"0,01"
PROFESSORA ANA MARIA,REDE,2054,"0,18"
PROFESSORA ANTONIA,PSC,70,"0,01"
PROFESSORA AUGUSTA,PC do B,34,0
PROFESSORA CARLA RENATA,PTB,391,"0,03"
PROFESSORA CLµUDIA SANTOS,SOLIDARIEDADE,643,"0,06"
PROFESSORA DENISE LEAL,PV,483,"0,04"
PROFESSORA DORA,CIDADANIA,152,"0,01"
PROFESSORA DUDA SALABERT,PDT,37613,"3,22"
PROFESSORA ELISETE,PDT,119,"0,01"
PROFESSORA FLµVIA RITA,AVANTE,4355,"0,37"
PROFESSORA IOLANE,PODE,597,"0,05"
PROFESSORA MARA TELLES,PC do B,399,"0,03"
PROFESSORA MARIA HELENA,REDE,343,"0,03"
PROFESSORA MARLI,PP,14496,"1,24"
PROFESSORA NARA,REDE,2670,"0,23"
PROFESSORA NILCE,CIDADANIA,648,"0,06"
PROFESSORA SIMONE CARVALHO,PP,236,"0,02"
QUEXIN WILLIAMS,PSL,233,"0,02"
RACHEL LIMA,PTB,257,"0,02"
RAFAEL GUERRA,PATRIOTA,622,"0,05"
RAFAEL HORµCIO,DEM,68,"0,01"
RAFAEL PEREIRA,PSC,317,"0,03"
RAFAELA SUTêRIO,REPUBLICANOS,16,0
RAIMUNDO CARVALHO,PSC,285,"0,02"
RAIMUNDO COSTA,PV,29,0
RAIMUNDO GRAÄA,DEM,36,0
RAMON BIBIANO DA CASA DE APOIO,PSD,5947,"0,51"
RAMON SUPERBIKE,PMN,270,"0,02"
RANDOLFO BAR«O,PV,110,"0,01"
RAQUEL DA ‡TICA,PMN,189,"0,02"
RAQUEL LIDERANÄA,PODE,6,0
RAQUEL PINHO KELL,PTB,60,"0,01"
REGINALDO DO POSTO DE SAÈDE,PL,136,"0,01"
REGINALDO SESSY,PDT,567,"0,05"
REINALDINHO,PROS,4086,"0,35"
REINALDO GOMES PRETO SACOL«O,MDB,5125,"0,44"
REINALDO MELO,PTC,202,"0,02"
REJANE SALES,PSDB,245,"0,02"
RENATA ANDRADE,PTC,486,"0,04"
RENATA DA FEDERAÄ«O,REPUBLICANOS,279,"0,02"
RENATA NASCIMENTO,PODE,45,0
RENATA PORTELA,REPUBLICANOS,98,"0,01"
RENATA ROSA,PODE,8,0
RENATO ALVES,REDE,328,"0,03"
RENATO CUNHA,REPUBLICANOS,190,"0,02"
RENATO DA QUADRA,PC do B,463,"0,04"
RENATO DO SAL«O,REPUBLICANOS,205,"0,02"
RENATO LEITE,PDT,314,"0,03"
RENATO MATOS CANTOR,PTB,572,"0,05"
RENATO PINHEIRO,PV,42,0
RENILDA FILGUEIRA,PSL,32,0
REPORTER PABLO TIAGO,DC,3253,"0,28"
RICARDO CASQUINHA,PSL,185,"0,02"
RICARDO DA FARMACIA,PMN,3892,"0,33"
RICARDO DO BAR,PV,56,0
RICARDO DO BAR RAIMUND«O,MDB,202,"0,02"
RICARDO NUNES,NOVO,454,"0,04"
RICARDO SILVEIRA,PSDB,71,"0,01"
RITA TORRES,PSDB,121,"0,01"
RITA UIARA,PSDB,55,0
ROBERT WILLIAM,PTB,359,"0,03"
ROBERTA DANY,PTC,27,0
ROBERTO AMARAL,PP,359,"0,03"
ROBERTO BERNARDO GUILHOTINA,PTB,341,"0,03"
ROBERTO BIN LADEN,PSB,197,"0,02"
ROBERTO DA FARMµCIA,AVANTE,4465,"0,38"
ROBERTO NOGUEIRA,PL,124,"0,01"
ROBERTO ROBINI,PV,44,0
ROBERTO ROMEIKE,PT,44,0
ROBERTO SEESTEL,PP,2354,"0,2"
ROBERTO TAVARES,PSDB,187,"0,02"
ROBSON FERRARY,PTB,123,"0,01"
ROBSON TRABALHADOR INFORMAL,PSOL,67,"0,01"
RODOLPHO DOD‚ DO LAVAJATO,PTC,629,"0,05"
RODOLPHO LACERDA,PT,63,"0,01"
RODRIGO BEDRAN,NOVO,1777,"0,15"
RODRIGO BRITO,PSL,397,"0,03"
RODRIGO FIÈZA,PSB,62,"0,01"
RODRIGO KAIQUE,PDT,146,"0,01"
RODRIGO MOTOZEIROS,PSB,83,"0,01"
RODRIGO NETCHEKA,REPUBLICANOS,349,"0,03"
ROGERINHO DA S«O GERER“,REDE,361,"0,03"
ROGERIO ALKIMIM,PMN,6061,"0,52"
ROGERIO DO BARREIRO,PT,274,"0,02"
ROGêRIO NAKAMURA,PSDB,367,"0,03"
ROGêRIO SANDY,PROS,235,"0,02"
R‡GERIS ALBERTO,PC do B,287,"0,02"
ROMµRIO,PV,238,"0,02"
R‚MULO BULDRINI FILOG‚NIO,NOVO,302,"0,03"
RONALDINHO S‡SIA,REDE,497,"0,04"
RONALDO ALMEIDA,DC,73,"0,01"
RONALDO DA COSTA,PMN,504,"0,04"
RONALDO DO PANELA DE PEDRA,PL,257,"0,02"
RONALDO TEIXEIRA,CIDADANIA,151,"0,01"
RONALDO VIANA,REDE,1641,"0,14"
RONDINELE FELEX,PSDB,50,0
RONE - PAIZ«O,PSDB,54,0
RONI MARTINS,PTB,331,"0,03"
ROSA FLOR,SOLIDARIEDADE,855,"0,07"
ROSA SANTOS,PTC,20,0
ROSANGELA SANGUINETE,DEM,102,"0,01"
ROSANIA ROSA,PC do B,84,"0,01"
ROSE CARVALHO,PATRIOTA,27,0
ROSE MICCRONI,PSD,75,"0,01"
ROSE PAIX«O,REDE,212,"0,02"
ROSELANE ANDREA,PT,236,"0,02"
ROSELANE SPORTS,PTB,270,"0,02"
ROSELI HEIDERICK,AVANTE,102,"0,01"
ROSILANE DE PAULA,PRTB,0,0
R‡SNEI CAETANO,CIDADANIA,210,"0,02"
ROSSINI C∂MARA TICO,PSC,372,"0,03"
ROSY LOBO,MDB,164,"0,01"
ROSY ROSA,PROS,273,"0,02"
RUAN,DEM,48,0
RUB«O,PP,3788,"0,32"
RUDSON PAIXAO,PMN,2345,"0,2"
RUI SABINO,PTC,58,0
SABRINA BRAUN,PT,285,"0,02"
SAMUEL MIRANDA,PV,120,"0,01"
SAMUEL RASEC,PDT,713,"0,06"
SANDRA,SOLIDARIEDADE,345,"0,03"
SANDRA CABELEIREIRA,PL,19,0
SANDRA DA SAÈDE,MDB,381,"0,03"
SANTUZA RODRIGUES,PC do B,183,"0,02"
S«OZINHA,PSB,91,"0,01"
SARA AZEVEDO,PSOL,1444,"0,12"
SARGENTO BAHIA,PATRIOTA,2715,"0,23"
SARGENTO CAMARGO,SOLIDARIEDADE,2060,"0,18"
SARGENTO CARLOS ROBêRIO,PATRIOTA,580,"0,05"
SARGENTO FLµVIO AUGUSTO BOMBEI,PODE,1324,"0,11"
SARGENTO MARTELETO,PRTB,181,"0,02"
SARGENTO SALUSTIANO,PP,2129,"0,18"
SARGENTO WALTER DA CUME,PTB,393,"0,03"
SµVIO COSTA,REPUBLICANOS,94,"0,01"
SEBASTI«O PINHO ZINHO TUPI,PROS,55,0
SEBASTI«O PRUDENTE,REPUBLICANOS,120,"0,01"
SEMIA ABBOUD,PSD,1152,"0,1"
SERGINHO DE PAULA,SOLIDARIEDADE,2073,"0,18"
SERGINHO DO V‚LEI,PV,1829,"0,16"
SERGINHO PAIZ«O,PTB,838,"0,07"
SERGIO ARAUJO DO GALO,AVANTE,81,"0,01"
SERGIO BOTINHA,PMN,602,"0,05"
SERGIO CASSEMIRO,PSL,154,"0,01"
SERGIO DE OLIVEIRA,PDT,137,"0,01"
SERGIO FERNANDO PINHO TAVARES,PL,2787,"0,24"
SERGIO MEC∂NICO,PV,238,"0,02"
SERGIO REIS,PMN,76,"0,01"
SERGIVAN SANTANA,PSL,83,"0,01"
SERJ«O,PATRIOTA,91,"0,01"
SERJ«O DA HABITAÄ«O,PSB,575,"0,05"
SGT CABO VILSON,PP,862,"0,07"
SGT DA PAZ,PRTB,37,0
SHIRLEY FONSECA,PSD,401,"0,03"
SIBELE DA EXPANS«O,PL,92,"0,01"
SIL PIMENTEL,REPUBLICANOS,41,0
SILAS,PTB,251,"0,02"
SILAS RASTRO,DC,199,"0,02"
SILTON RIBEIRO,PODE,268,"0,02"
SILVANA DA PETECA,PP,294,"0,03"
SILVANA DA TRANSILVANA,PL,671,"0,06"
SILVIA TEIXEIRA,PDT,363,"0,03"
SILVIA TOLENTINO,DEM,169,"0,01"
SILVIO MOTOS,PMN,78,"0,01"
SIMAR DA PANELA,AVANTE,675,"0,06"
S‡CRATES,REDE,1077,"0,09"
SOL DO BOMBOM,DEM,232,"0,02"
SOL PURI,PSOL,413,"0,04"
SOLANDIA COELHO,PMN,29,0
SOLANGE GOMES,PL,83,"0,01"
SOMµLIA,PP,2256,"0,19"
S‚NIA DO DANDARA,PSD,939,"0,08"
S‚NIA DO POVO,PROS,81,"0,01"
S‚NIA KID BAIANA,PSB,53,0
S‚NIA LANSKY DA COLETIVA,PT,4793,"0,41"
S‚NIA VIEIRA,PSC,14,0
SONINHA DA ENFERMAGEM,PTB,312,"0,03"
SOUZA DANTAS,PCB,18,0
SOUZA DIZ,PODE,627,"0,05"
SR ANT‚NIO,PC do B,75,"0,01"
STEPHANIE SOUZA,PMN,278,"0,02"
STEWART DA MGS,DC,370,"0,03"
SU DO YAKULT,DEM,134,"0,01"
SUB TENENTE VILMO GOMES,PSC,2315,"0,2"
SUELEN STEFANE,CIDADANIA,57,0
SUELI ANT‚NIA,DEM,173,"0,01"
SUELI XAVIER,DC,149,"0,01"
SUELY MATOS,PSD,205,"0,02"
SUMAIA ABENÄOADA,CIDADANIA,138,"0,01"
SUZANA ENFERMEIRA,PP,1441,"0,12"
SYLLAS VALAD«O,PMN,138,"0,01"
TALES DOUGLAS,PROS,337,"0,03"
TAMMY CELESTE,PROS,19,0
TANIA CASTRO,PV,50,0
TARC÷SIO CAIXETA,REDE,1922,"0,16"
TATI MOREIRA,PMN,15,0
TATI VASCONCELOS,PTC,62,"0,01"
TATIANE CARVALHO,PODE,438,"0,04"
TAVIM DO DOM BOSCO,MDB,295,"0,03"
TAVINHO LUIZ OTAVIO,PATRIOTA,57,0
THABATA MARIE,PSC,6,0
THALES CIDADE RADICAL,AVANTE,385,"0,03"
THERIS ALTERNATIVA,SOLIDARIEDADE,840,"0,07"
THIAGO CAMARGOS,PCB,47,0
THIAGO DE OLIVEIRA,PSDB,8,0
THIAGO MARTINS DA COSTA,PSD,196,"0,02"
THIAGO MIRANDA,PSD,215,"0,02"
THOMµS CARRIERE,PCB,66,"0,01"
TIA DALVA,PATRIOTA,69,"0,01"
TIA LAU,MDB,632,"0,05"
TIA LEIDE,MDB,7,0
TIA LENE,PMN,28,0
TIA LÈ DO BARREIRO,PTC,169,"0,01"
TIAGO GELEIA,PMN,56,0
TIAGO GUSM«O,PATRIOTA,613,"0,05"
TI«O BITENCOURT,DEM,528,"0,05"
TI«O DO FRANGO,PT,243,"0,02"
TICO PATO ROCO,PATRIOTA,271,"0,02"
TIMIRIM,DC,2846,"0,24"
TOBIAS VIEIRA,PODE,288,"0,02"
TOM COUTINHO,PTB,247,"0,02"
TONH«O,PT,89,"0,01"
TONI CµSSIO,CIDADANIA,49,0
TON÷ TEIXEIRA,MDB,71,"0,01"
TONINHO CASCALHO,PL,422,"0,04"
TONINHO DO ONIBUS,PMN,431,"0,04"
TONINHO PINHEIRO DA VILA PINHO,SOLIDARIEDADE,705,"0,06"
TONINHO REAL,PTC,46,0
TONINHO VEICULOS,REPUBLICANOS,290,"0,02"
TONY THE BEST,PP,138,"0,01"
TORRADA,MDB,805,"0,07"
TUBAR«O,CIDADANIA,159,"0,01"
TULIO MENEZES,DEM,522,"0,04"
TUTI,PP,148,"0,01"
UNER AUGUSTO,PRTB,2735,"0,23"
VAGUINHO DO DEPOSITO,PTB,196,"0,02"
VAL CONSOLAÄ«O,PP,1518,"0,13"
VALDECI WILLIAM,PROS,44,0
VALDECIR MACEDO,REPUBLICANOS,42,0
VALDETE DE JESUS,PRTB,88,"0,01"
VALDILENE PESSOA,DC,10,0
VALDIR SIQUEIRA,PL,488,"0,04"
VALERIA GOMES,PT,953,"0,08"
VANDERLEI DRAG«O,CIDADANIA,366,"0,03"
VANDERLEI LOURENÄO,DEM,223,"0,02"
VANESSA PORTUGAL,PSTU,1412,"0,12"
VANUSA DIAS MELO,PRTB,5,0
VERA PONTES,PSC,127,"0,01"
VERINHA PRETA,PSD,527,"0,05"
VERONICA DONATO,PT,216,"0,02"
VIBRANTINHO,DC,617,"0,05"
VICTOR AGUIAR,PATRIOTA,55,0
VICTOR CAMPOS,REDE,863,"0,07"
VILMA COSTUREIRA,CIDADANIA,293,"0,03"
VILMA DA ZOONOSE,SOLIDARIEDADE,2186,"0,19"
VINICIUS COSTA,PSL,218,"0,02"
VINICIUS MARTINS,PV,88,"0,01"
VITORINO,PSB,37,0
VIVALDINO TININHO LAJEDO,PSL,367,"0,03"
VIVI MARLA,SOLIDARIEDADE,138,"0,01"
VIVIAN NOMAN,PSD,202,"0,02"
VIVIANE FONSECA,PROS,2,0
VIVIANE SIZENANDO,DEM,162,"0,01"
W2,PC do B,1035,"0,09"
WAGNER CAFê,PV,296,"0,03"
WAGNER CAMPOS BH,PTC,353,"0,03"
WAGNER DE ALMEIDA,PSC,55,0
WAGNER DO SINJUS,PDT,3128,"0,27"
WAGNER PONCIANO,AVANTE,828,"0,07"
WALDIR MESSIAS,PRTB,291,"0,02"
WALFREDO RODRIGUES,PTB,989,"0,08"
WALLINSON TADEU NEGO,PTC,96,"0,01"
WALQUIRIO SILVA,PT,280,"0,02"
WALTER PINHEIRO,REDE,267,"0,02"
WALTER TOSTA,PL,8072,"0,69"
WALYSSON DIEGO,MDB,134,"0,01"
WANDERLEI DA CRECHE ASKE,CIDADANIA,551,"0,05"
WANDERLEI DOS SANTOS,PT,427,"0,04"
WANDERLEI TESOURINHA,PP,1065,"0,09"
WANDERLêIA MAIA,PSC,52,0
WANDERLEY CARDOSO,PT,76,"0,01"
WANDERLEY GOMES,REPUBLICANOS,216,"0,02"
WANDERLEY PORTO,PATRIOTA,3767,"0,32"
WANDERSON FAUSTO,PSDB,20,0
WANJA,PSDB,12,0
WARLEY M‡L,NOVO,950,"0,08"
WATUSE PRISCILLA,PSL,115,"0,01"
WAYDSON COELHO,DEM,561,"0,05"
WEBERT GERMANO,PC do B,79,"0,01"
WEBERT SILVA,PTB,235,"0,02"
WELBER CUST‡DIO,PTB,216,"0,02"
WELINGTON,PROS,110,"0,01"
WELLINGTON ABENÄOADO,PSL,391,"0,03"
WELLINGTON BARBOSA,PMN,29,0
WELLINGTON BESSA SAP«O,SOLIDARIEDADE,1986,"0,17"
WELLINGTON CORREIA,PDT,70,"0,01"
WELLINGTON DO TµXI ACESS÷VEL,MDB,197,"0,02"
WELLINGTON GIGANTE,PSDB,396,"0,03"
WELLINGTON GODINHO,PATRIOTA,190,"0,02"
WELLINGTON LEMOS,PCB,54,0
WELLINGTON RAMOS,SOLIDARIEDADE,968,"0,08"
WELLINGTON TILECO,SOLIDARIEDADE,754,"0,06"
WELLYSSON RAMOS DA ENFERMAGEM,SOLIDARIEDADE,36,0
WELTON MANSO,PODE,265,"0,02"
WEMMERSON DA VAN,PSD,100,"0,01"
WENDEL TIMO,PODE,285,"0,02"
WESLEY AUTOESCOLA,PROS,4958,"0,42"
WESLLEY  FELIPE NINJ«O,PT,74,"0,01"
WESLLEY DO MOREIRA GESSO,PROS,2569,"0,22"
WILLIAM BITTENCOURT,REPUBLICANOS,46,0
WILLIAM FORTALEZA,AVANTE,49,0
WILLIAM ROSA,REPUBLICANOS,653,"0,06"
WILLIAM SANTOS,REDE,590,"0,05"
WILLIAM SANTOS ADVOGADO,PT,1439,"0,12"
WILLIAM SOUZA,PP,2578,"0,22"
WILLIAN ARAPA,PTB,213,"0,02"
WILSINHO DA TABU,PP,3734,"0,32"
WILSON NOVAES,PL,190,"0,02"
WILSON VITAL,REPUBLICANOS,71,"0,01"
WILTON VAGALUME,PSOL,572,"0,05"
XENINHA OLIVEIRA,CIDADANIA,124,"0,01"
XUXU DO BAR,PSB,117,"0,01"
YASMIN SILVA,PSC,0,0
YURI CAMPOS,REDE,400,"0,03"
Zê ANT‚NIO,PC do B,790,"0,07"
Zê BONOMO,PT,58,0
Zê DE FµTIMA,REDE,425,"0,04"
Zê LUIS GATTI,PRTB,275,"0,02"
Zê MARIA COMUNIDADES,PP,1544,"0,13"
Zê MARIA DO BAR,PL,99,"0,01"
Zê MARIO,PODE,93,"0,01"
ZECA,REPUBLICANOS,219,"0,02"
ZELI SANTOS,PL,178,"0,02"
ZENA DO ASILO,REDE,317,"0,03"
ZEU,AVANTE,673,"0,06"
ZEZê DO TAQUARIL,PC do B,224,"0,02"
ZEZIN DO T‡ (ZEZINHO),PATRIOTA,293,"0,03"
ZINHO,PSL,278,"0,02"
ZIZI,PODE,259,"0,02"
ZU DOS ANJOS,DEM,132,"0,01"
ZULIN,AVANTE,184,"0,02"
